Order ID,Order Date,CustomerName,State,City
B-25601,01-04-2018,Bharat,Gujarat,Ahmedabad
B-25602,01-04-2018,Pearl,Maharashtra,Pune
B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal
B-25604,03-04-2018,Divsha,Rajasthan,Jaipur
B-25605,05-04-2018,Kasheen,West Bengal,Kolkata
B-25606,06-04-2018,Hazel,Karnataka,Bangalore
B-25607,06-04-2018,Sonakshi,Jammu and Kashmir,Kashmir
B-25608,08-04-2018,Aarushi,Tamil Nadu,Chennai
B-25609,09-04-2018,Jitesh,Uttar Pradesh,Lucknow
B-25610,09-04-2018,Yogesh,Bihar,Patna
B-25611,11-04-2018,Anita,Kerala ,Thiruvananthapuram
B-25612,12-04-201800,Shrichand,Punjab,Chandigarh
B-25613,13-04-2018,Mukesh,Haryana,Chandigarh
B-25614,14-04-2018,Vandana,Himachal Pradesh,Simla
B-25615,15-04-2018,Bhavna,Sikkim,Gangtok
B-25616,16-04-2018,Kanak,Goa,Goa
B-25617,17-04-2018000,Sagar,Nagaland,Kohima
B-25618,18-04-2018,Manju,Andhra Pradesh,Hyderabad
B-25619,19-04-2018,Ramesh,Gujarat,Ahmedabad
B-25620,20-04-2018,Sarita,Maharashtra,Pune
B-25621,21-04-2018,Deepak,Madhya Pradesh,Bhopal
B-25622,22-04-2018,Monisha,Rajasthan,Jaipur
B-25623,23-04-2018,Atharv,West Bengal,Kolkata
B-25624,24-04-2018,Vini,Karnataka,Bangalore
B-25625,25-04-2018,Pinky,Jammu and Kashmir,Kashmir
B-25626,26-04-2018,Bhishm,Maharashtra,Mumbai
B-25627,27-04-2018,Hitika,Madhya Pradesh,Indore
B-25628,28-04-2018,Pooja,Bihar,Patna
B-25629,29-04-2018,Hemant,Kerala ,Thiruvananthapuram
B-25630,30-04-2018,Sahil,Punjab,Chandigarh
B-25631,01-05-2018,Ritu,Haryana,Chandigarh
B-25632,02-05-2018,Manish,Himachal Pradesh,Simla
B-25633,03-05-2018,Amit,Sikkim,Gangtok
B-25634,04-05-2018,Sanjay,Goa,Goa
B-25635,05-05-2018,Nidhi,Nagaland,Kohima
B-25636,06-05-2018,Nishi,Maharashtra,Mumbai
B-25637,07-05-2018,Ashmi,Madhya Pradesh,Indore
B-25638,08-05-2018,Parth,Maharashtra,Pune
B-25639,09-05-2018,Lisha,Madhya Pradesh,Bhopal
B-25640,10-05-2018,Paridhi,Rajasthan,Jaipur
B-25641,11-05-2018,Parishi,West Bengal,Kolkata
B-25642,12-05-2018,Ajay,Karnataka,Bangalore
B-25643,13-05-2018,Kirti,Jammu and Kashmir,Kashmir
B-25644,14-05-2018,Mayank,Maharashtra,Mumbai
B-25645,15-05-2018,Yaanvi,Madhya Pradesh,Indore
B-25646,16-05-2018,Sonal,Bihar,Patna
B-25647,17-05-2018,Sharda,Kerala ,Thiruvananthapuram
B-25648,18-05-2018,Aditya,Punjab,Chandigarh
B-25649,19-05-2018,Rachna,Haryana,Chandigarh
B-25650,20-05-2018,Chirag,Maharashtra,Mumbai
B-25651,21-05-2018,Anurag,Madhya Pradesh,Indore
B-25652,22-05-2018,Tushina,Goa,Goa
B-25653,23-05-2018,Farah,Nagaland,Kohima
